Electoral District Name,Political Affiliation,Candidate's First Name / PrÈnom du candidat,Candidate's Family Name / Nom de famille du candidat
Toronto--Danforth,Liberal Party of Canada,Julie,Dabrusin
Toronto--Danforth,New Democratic Party,Clare,Hacksel
Toronto--Danforth,Conservative Party of Canada,Ashik,Hussain
Toronto--Danforth,Green Party of Canada,Silvia,Stardust
Toronto--Danforth,Animal Protection Party of Canada,Liz,White
Toronto--St. Paul's,Liberal Party of Canada,Leslie,Church
Toronto--St. Paul's,People's Party of Canada,Joseph,Frasca
Toronto--St. Paul's,Marxist-Leninist Party of Canada,David,Gershuny
Toronto--St. Paul's,New Democratic Party,Bruce,Levy
Toronto--St. Paul's,Green Party of Canada,Shane,Philips
Toronto--St. Paul's,Conservative Party of Canada,Don,Stewart
Toronto--St. Paul's,Canadian Future Party,Cynthia,Valdron
University--Rosedale,Marxist-Leninist Party of Canada,Barbara,Biley
University--Rosedale,Liberal Party of Canada,Chrystia,Freeland
University--Rosedale,Communist Party of Canada,Drew,Garvie
University--Rosedale,Independent,Adam,Golding
University--Rosedale,Conservative Party of Canada,Liz,Grade
University--Rosedale,Green Party of Canada,Ignacio,Mongrell
University--Rosedale,New Democratic Party,Serena,Purdy
Vaughan--Woodbridge,New Democratic Party,Ali,Bahman
Vaughan--Woodbridge,Conservative Party of Canada,Michael,Guglielmin
Vaughan--Woodbridge,Liberal Party of Canada,Francesco,Sorbara
Vaughan--Woodbridge,People's Party of Canada,Roman,Yevseyev
Waterloo,Conservative Party of Canada,Waseem,Botros
Waterloo,Liberal Party of Canada,Bardish,Chagger
Waterloo,Parti RhinocÈros Party,Santa Claus,Chatham
Waterloo,New Democratic Party,HÈline,Chow
Waterloo,Green Party of Canada,Simon,Guthrie
Waterloo,Independent,Jamie,Hari
Waterloo,Independent,Val,Neekman
Waterloo,Independent,Hans,Roach
Waterloo,People's Party of Canada,Douglas,Ross
Wellington--Halton Hills North,New Democratic Party,Andrew,Bascombe
Wellington--Halton Hills North,People's Party of Canada,Syl,Carle
Wellington--Halton Hills North,Liberal Party of Canada,Sean,Carscadden
Wellington--Halton Hills North,Conservative Party of Canada,Michael,Chong
Wellington--Halton Hills North,Green Party of Canada,Liam,Stiles
Whitby,Green Party of Canada,Andrew,Di Lullo
Whitby,New Democratic Party,Kevin,Goswell
Whitby,Centrist Party of Canada,Nouman,Mian
Whitby,Liberal Party of Canada,Ryan,Turnbull
Whitby,Conservative Party of Canada,Steve,Yamada
Willowdale,Liberal Party of Canada,Ali,Ehsassi
Willowdale,New Democratic Party,Christy,Kheirallah
Willowdale,Conservative Party of Canada,James,Lin
Windsor--Tecumseh--Lakeshore,People's Party of Canada,Nick,Babic
Windsor--Tecumseh--Lakeshore,Conservative Party of Canada,Kathy,Borrelli
Windsor--Tecumseh--Lakeshore,Centrist Party of Canada,Helmi,Charif
Windsor--Tecumseh--Lakeshore,New Democratic Party,Alex,Ilijoski
Windsor--Tecumseh--Lakeshore,Liberal Party of Canada,Irek,Kusmierczyk
Windsor--Tecumseh--Lakeshore,Christian Heritage Party of Canada,Beth,St Denis
Windsor--Tecumseh--Lakeshore,Green Party of Canada,Roxanne,Tellier
Windsor West,Green Party of Canada,Louay,Ahmad
Windsor West,People's Party of Canada,Jacob,Bezaire
Windsor West,Conservative Party of Canada,Harb,Gill
Windsor West,Communist Party of Canada,Joseph,Markham
Windsor West,New Democratic Party,Brian,Masse
Windsor West,Liberal Party of Canada,Richard,Pollock
Windsor West,Marxist-Leninist Party of Canada,Margaret,Villamizar
York Centre,Conservative Party of Canada,Roman,Baber
York Centre,Liberal Party of Canada,Ya'ara,Saks
York Centre,New Democratic Party,Yusuf,Ulukanligil
York--Durham,People's Party of Canada,Patricia,Conlin
York--Durham,New Democratic Party,Justin,Graham
York--Durham,Liberal Party of Canada,Robert,Grossi
York--Durham,Conservative Party of Canada,Jacob,Mantle
York--Durham,Green Party of Canada,Matt,Pearce
York South--Weston--Etobicoke,Liberal Party of Canada,Ahmed,Hussen
York South--Weston--Etobicoke,New Democratic Party,Louise,James
York South--Weston--Etobicoke,Conservative Party of Canada,Nicolas,Pham
Brandon--Souris,Conservative Party of Canada,Grant,Jackson
Brandon--Souris,New Democratic Party,Quentin,Robinson
Brandon--Souris,Liberal Party of Canada,Ghazanfar Ali,Tarar
Churchill--Keewatinook Aski,New Democratic Party,Niki,Ashton
Churchill--Keewatinook Aski,Liberal Party of Canada,Rebecca,Chartrand
Churchill--Keewatinook Aski,Conservative Party of Canada,Lachlan,De Nardi
Churchill--Keewatinook Aski,People's Party of Canada,Dylan,Young
Elmwood--Transcona,New Democratic Party,Leila,Dance
Elmwood--Transcona,Green Party of Canada,Nicolas,Geddert
Elmwood--Transcona,Liberal Party of Canada,Ian,MacIntyre
Elmwood--Transcona,Conservative Party of Canada,Colin,Reynolds
Elmwood--Transcona,People's Party of Canada,Collin,Watson
Kildonan--St. Paul,New Democratic Party,Emily,Clark
Kildonan--St. Paul,Conservative Party of Canada,Raquel,Dancho
Kildonan--St. Paul,People's Party of Canada,Erik,Holmes
Kildonan--St. Paul,Liberal Party of Canada,Thomas,Naaykens
Portage--Lisgar,Green Party of Canada,Janine G.,Gibson
Portage--Lisgar,Liberal Party of Canada,Robert,Kreis
Portage--Lisgar,People's Party of Canada,Kevin,Larson
Portage--Lisgar,Conservative Party of Canada,Branden,Leslie
Portage--Lisgar,New Democratic Party,Lisa,Tessier
Provencher,Conservative Party of Canada,Ted,Falk
Provencher,People's Party of Canada,NoÎl,Gautron
Provencher,Liberal Party of Canada,Trevor,Kirczenow
Provencher,Green Party of Canada,Blair,Mahaffy
Provencher,New Democratic Party,Brandy,Schmidt
Riding Mountain,Green Party of Canada,Liz,Clayton
Riding Mountain,Liberal Party of Canada,Terry,Hayward
Riding Mountain,New Democratic Party,Andrew Douglas,Maxwell
Riding Mountain,Conservative Party of Canada,Dan,Mazier
Riding Mountain,People's Party of Canada,Jim,Oliver
St. Boniface--St. Vital,Conservative Party of Canada,Shola,Agboola
St. Boniface--St. Vital,Liberal Party of Canada,Ginette,Lavack
St. Boniface--St. Vital,New Democratic Party,Thomas,Linner
St. Boniface--St. Vital,People's Party of Canada,Gilles,Pelletier
Selkirk--Interlake--Eastman,Conservative Party of Canada,James,Bezan
Selkirk--Interlake--Eastman,New Democratic Party,Josef,Estabrooks
Selkirk--Interlake--Eastman,People's Party of Canada,Byron,Gryba
Selkirk--Interlake--Eastman,Green Party of Canada,Wayne,James
Selkirk--Interlake--Eastman,Liberal Party of Canada,Rhonda,Nichol
Selkirk--Interlake--Eastman,United Party of Canada (UP),Chris,Riddell
Winnipeg Centre,Conservative Party of Canada,Tom,Bambrick
Winnipeg Centre,New Democratic Party,Leah,Gazan
Winnipeg Centre,Green Party of Canada,Gary,Gervais
Winnipeg Centre,People's Party of Canada,Donald,Grant
Winnipeg Centre,Liberal Party of Canada,Rahul,Walia
Winnipeg Centre,Animal Protection Party of Canada,Debra,Wall
Winnipeg North,New Democratic Party,Adebayo,Akinrogunde
Winnipeg North,People's Party of Canada,Jessica,Bailon
Winnipeg North,Communist Party of Canada,Sarah,Borbridge
Winnipeg North,Green Party of Canada,Angela,Brydges
Winnipeg North,Liberal Party of Canada,Kevin,Lamoureux
Winnipeg North,Conservative Party of Canada,Rachel,Punzalan
Winnipeg South,New Democratic Party,Joanne,Bjornson
Winnipeg South,Liberal Party of Canada,Terry,Duguid
Winnipeg South,People's Party of Canada,Johann Rempel,Fehr
Winnipeg South,Green Party of Canada,Manjit,Kaur
Winnipeg South,Conservative Party of Canada,Janice,Morley-Lecomte
Winnipeg South Centre,Conservative Party of Canada,Royden,Brousseau
Winnipeg South Centre,Liberal Party of Canada,Ben,Carr
Winnipeg South Centre,People's Party of Canada,Jaclyn,Cummings
Winnipeg South Centre,Independent,Tait,Palsson
Winnipeg South Centre,Green Party of Canada,Chris,Petriew
Winnipeg South Centre,New Democratic Party,Jorge,Requena Ramos
Winnipeg South Centre,Communist Party of Canada,Cam,Scott
Winnipeg West,Green Party of Canada,Dennis,Bayomi
Winnipeg West,Liberal Party of Canada,Doug,Eyolfson
Winnipeg West,Conservative Party of Canada,Marty,Morantz
Winnipeg West,New Democratic Party,Avery,Selby-Lyons
Battlefords--Lloydminster--Meadow Lake,Conservative Party of Canada,Rosemarie,Falk
Battlefords--Lloydminster--Meadow Lake,Liberal Party of Canada,Larry,Ingram
Battlefords--Lloydminster--Meadow Lake,Canadian Future Party,Darrell,Patan
Battlefords--Lloydminster--Meadow Lake,New Democratic Party,William,Petryk
Carlton Trail--Eagle Creek,Conservative Party of Canada,Kelly,Block
Carlton Trail--Eagle Creek,New Democratic Party,Cheryl,Loadman
Carlton Trail--Eagle Creek,Liberal Party of Canada,Katelyn,Zimmer
DesnethÈ--Missinippi--Churchill River,Liberal Party of Canada,Buckley,Belanger
DesnethÈ--Missinippi--Churchill River,Conservative Party of Canada,Jim,Lemaigre
DesnethÈ--Missinippi--Churchill River,New Democratic Party,Doug,Racine
Moose Jaw--Lake Centre--Lanigan,New Democratic Party,Britt,Baumann
Moose Jaw--Lake Centre--Lanigan,People's Party of Canada,Chey,Craik
Moose Jaw--Lake Centre--Lanigan,Green Party of Canada,Mike,Gardiner
Moose Jaw--Lake Centre--Lanigan,Liberal Party of Canada,Tabitha,Mukamusoni
Moose Jaw--Lake Centre--Lanigan,Conservative Party of Canada,Fraser,Tolmie
Prince Albert,Liberal Party of Canada,Christopher,Hadubiak
Prince Albert,Conservative Party of Canada,Randy,Hoback
Prince Albert,New Democratic Party,Virginia,Kutzan
Regina--Lewvan,New Democratic Party,Ray,Aldinger
Regina--Lewvan,People's Party of Canada,Godwin,Ezizor
Regina--Lewvan,Liberal Party of Canada,Mac,Hird
Regina--Lewvan,Conservative Party of Canada,Warren,Steinley
Regina--Lewvan,Green Party of Canada,Michael,Wright
Regina--Qu'Appelle,People's Party of Canada,Dionne,Fehler
Regina--Qu'Appelle,Liberal Party of Canada,Rahima,Mian
Regina--Qu'Appelle,Conservative Party of Canada,Andrew,Scheer
Regina--Qu'Appelle,New Democratic Party,Chris,Simmie
Regina--Wascana,People's Party of Canada,Peter,Bruce
Regina--Wascana,Green Party of Canada,Kimberly,Epp
Regina--Wascana,Conservative Party of Canada,Michael,Kram
Regina--Wascana,New Democratic Party,Kaitlyn,Stadnyk
Regina--Wascana,Liberal Party of Canada,Jeffrey,Walters
Saskatoon South,New Democratic Party,Jacob,Gadzella
Saskatoon South,Green Party of Canada,Hamish,Graham
Saskatoon South,Liberal Party of Canada,Rokhan,Sarwar
Saskatoon South,Conservative Party of Canada,Kevin,Waugh
Saskatoon South,People's Party of Canada,Richard Brent,Wintringham
Saskatoon--University,People's Party of Canada,Jaxson,Boot
Saskatoon--University,Green Party of Canada,Isaiah,Hunter
Saskatoon--University,New Democratic Party,Melissa,McGillivray
Saskatoon--University,Liberal Party of Canada,Greg,Poelzer
Saskatoon--University,Conservative Party of Canada,Corey,Tochor
Saskatoon West,Liberal Party of Canada,Chad,Eggerman
Saskatoon West,Green Party of Canada,Naomi,Hunter
Saskatoon West,New Democratic Party,Rachel,Loewen Walker
Saskatoon West,Conservative Party of Canada,Brad,Redekopp
Souris--Moose Mountain,Conservative Party of Canada,Steven,Bonk
Souris--Moose Mountain,Canadian Future Party,Lyndon,Dayman
Souris--Moose Mountain,Liberal Party of Canada,Aziz,Mian
Souris--Moose Mountain,New Democratic Party,Sheena,Muirhead Koops
Souris--Moose Mountain,Independent,Travis,Patron
Souris--Moose Mountain,Green Party of Canada,Remi,Rheault
Swift Current--Grasslands--Kindersley,Liberal Party of Canada,William,Caton
Swift Current--Grasslands--Kindersley,Independent,Maria Rose,Lewans
Swift Current--Grasslands--Kindersley,New Democratic Party,Alex,McPhee
Swift Current--Grasslands--Kindersley,Conservative Party of Canada,Jeremy,Patzer
Yorkton--Melville,Green Party of Canada,Valerie,Brooks
Yorkton--Melville,Libertarian Party of Canada,Alec,Guggenmos
Yorkton--Melville,Liberal Party of Canada,Luke,Guimond
Yorkton--Melville,New Democratic Party,Michaela,Krakowetz
Yorkton--Melville,Conservative Party of Canada,Cathay,Wagantall
Airdrie--Cochrane,Christian Heritage Party of Canada,Christopher,Bell
Airdrie--Cochrane,Conservative Party of Canada,Blake,Richards
Airdrie--Cochrane,Libertarian Party of Canada,David,Sabine
Airdrie--Cochrane,Liberal Party of Canada,Sean,Secord
Airdrie--Cochrane,New Democratic Party,Sarah,Zagoda
Battle River--Crowfoot,People's Party of Canada,Jonathan,Bridges
Battle River--Crowfoot,Green Party of Canada,Douglas,Gook
Battle River--Crowfoot,Conservative Party of Canada,Damien,Kurek
Battle River--Crowfoot,New Democratic Party,James,MacKay
Battle River--Crowfoot,Liberal Party of Canada,Brent,Sutton
Bow River,Liberal Party of Canada,Bentley,Barnes
Bow River,Conservative Party of Canada,David,Bexte
Bow River,New Democratic Party,Louisa,Gwin
Bow River,Christian Heritage Party of Canada,Tom,Lipp
Bow River,United Party of Canada (UP),Aaron,Patton
Calgary Centre,Green Party of Canada,Jayden,Baldonado
Calgary Centre,Parti RhinocÈros Party,Scott,Fea
Calgary Centre,People's Party of Canada,Robert,Hawley
Calgary Centre,Liberal Party of Canada,Lindsay,Luhnau
Calgary Centre,Conservative Party of Canada,Greg,McLean
Calgary Centre,New Democratic Party,Beau,Shaw
Calgary Confederation,New Democratic Party,Keira,Gunn
Calgary Confederation,Liberal Party of Canada,Corey,Hogan
Calgary Confederation,Marxist-Leninist Party of Canada,Kevan,Hunter
Calgary Confederation,Canadian Future Party,Jeffrey Reid,Marsh
Calgary Confederation,Conservative Party of Canada,Jeremy,Nixon
Calgary Confederation,People's Party of Canada,Artyom,Ovsepyan
Calgary Confederation,Green Party of Canada,Richard,Willott
Calgary Crowfoot,Conservative Party of Canada,Pat,Kelly
Calgary Crowfoot,Liberal Party of Canada,Shahnaz,Munir
Calgary Crowfoot,Green Party of Canada,Nanette,Nerland
Calgary Crowfoot,New Democratic Party,Jim,Samuelson
Calgary Crowfoot,People's Party of Canada,Yvonne,Snyder
Calgary Crowfoot,Independent,Lachlan,Van Egmond
Calgary East,People's Party of Canada,Harry,Dhillon
Calgary East,Christian Heritage Party of Canada,Garry,Dirk
Calgary East,New Democratic Party,Jennifer,Geha
Calgary East,Conservative Party of Canada,Jasraj,Hallan
Calgary East,Liberal Party of Canada,Priti,Obhrai-Martin
Calgary East,Green Party of Canada,Carey,Rutherford
Calgary East,Communist Party of Canada,Jonathan,Trautman
Calgary Heritage,Liberal Party of Canada,Scott,Arnott
Calgary Heritage,Green Party of Canada,Ravenmoon,Crocker
Calgary Heritage,Independent,Chris,Galas
Calgary Heritage,Christian Heritage Party of Canada,Larry R.,Heather
Calgary Heritage,Conservative Party of Canada,Shuv,Majumdar
Calgary Heritage,New Democratic Party,Becki,Zimmerman
Calgary McKnight,People's Party of Canada,Najeeb,Butt
Calgary McKnight,Liberal Party of Canada,George,Chahal
Calgary McKnight,Canadian Future Party,Benjamin,Cridland
Calgary McKnight,Conservative Party of Canada,Dalwinder,Gill
Calgary McKnight,Centrist Party of Canada,Syed,Hasnain
Calgary McKnight,New Democratic Party,Arlington Antonio,Santiago
Calgary McKnight,Green Party of Canada,Evelyn,Tanaka
Calgary Midnapore,Green Party of Canada,Adam,Delgado
Calgary Midnapore,People's Party of Canada,Colin,Kindret
Calgary Midnapore,Conservative Party of Canada,Stephanie,Kusie
Calgary Midnapore,New Democratic Party,Austin,Mullins
Calgary Midnapore,Liberal Party of Canada,Sunjiv,Raval
Calgary Nose Hill,Marxist-Leninist Party of Canada,Peggy,Askin
Calgary Nose Hill,Liberal Party of Canada,Tom,Becker
Calgary Nose Hill,Green Party of Canada,Addison,Fach
Calgary Nose Hill,New Democratic Party,Ahmed,Khan
Calgary Nose Hill,Conservative Party of Canada,Michelle,Rempel Garner
Calgary Nose Hill,Parti RhinocÈros Party,Vanessa,Wang
Calgary Shepard,Green Party of Canada,Robert,Frasch
Calgary Shepard,Liberal Party of Canada,Gul,Khan
Calgary Shepard,Conservative Party of Canada,Tom,Kmiec
Calgary Shepard,People's Party of Canada,Donald,Legere
Calgary Shepard,New Democratic Party,Tory,Tomblin
Calgary Signal Hill,New Democratic Party,Khalis,Ahmed
Calgary Signal Hill,Canadian Future Party,Paul,Godard
Calgary Signal Hill,Conservative Party of Canada,David GL,McKenzie
Calgary Signal Hill,People's Party of Canada,Grant,Strem
Calgary Signal Hill,Liberal Party of Canada,Bryndis,Whitson
Calgary Skyview,Independent,Jag,Anand
Calgary Skyview,New Democratic Party,Rajesh,Angral
Calgary Skyview,Independent,Scott,Calverley
Calgary Skyview,Conservative Party of Canada,Amanpreet S.,Gill
Calgary Skyview,Liberal Party of Canada,Hafeez,Malik
Calgary Skyview,Independent,Minesh,Patel
Edmonton Centre,Conservative Party of Canada,Sayid,Ahmed
Edmonton Centre,Independent,Gregory,Bell
Edmonton Centre,Independent,Ronald S.,Billingsley Jr.
Edmonton Centre,Christian Heritage Party of Canada,David John,Bohonos
Edmonton Centre,Independent,Mike,Dutcher
Edmonton Centre,Marxist-Leninist Party of Canada,Merryn,Edwards de la O
Edmonton Centre,New Democratic Party,Trisha,Estabrooks
Edmonton Centre,Liberal Party of Canada,Eleanor,Olszewski
Edmonton Centre,Communist Party of Canada,Naomi,Rankin
Edmonton Centre,People's Party of Canada,John,Ross
Edmonton Gateway,Liberal Party of Canada,Jeremy,Hoefsloot
Edmonton Gateway,No Affiliation,Rod,Loyola
Edmonton Gateway,New Democratic Party,Madeline,Mayes
Edmonton Gateway,People's Party of Canada,Paul,McCormack
Edmonton Gateway,Independent,Ashok,Patel
Edmonton Gateway,Conservative Party of Canada,Tim,Uppal
Edmonton Griesbach,Communist Party of Canada,Alex,Boykowich
Edmonton Griesbach,New Democratic Party,Blake,Desjarlais
Edmonton Griesbach,Conservative Party of Canada,Kerry,Diotte
Edmonton Griesbach,Green Party of Canada,Michael,Hunter
Edmonton Griesbach,Marxist-Leninist Party of Canada,Mary,Joyce
Edmonton Griesbach,Liberal Party of Canada,Patrick,Lennox
Edmonton Griesbach,People's Party of Canada,Thomas,Matty
Edmonton Griesbach,Canadian Future Party,Brent,Tyson
Edmonton Griesbach,Independent,Crystal,Vargas
Edmonton Manning,Conservative Party of Canada,Ziad,Aboultaif
Edmonton Manning,People's Party of Canada,Robert,Bard
Edmonton Manning,Liberal Party of Canada,Blair-Marie,Coles
Edmonton Manning,New Democratic Party,Lesley,Thompson
Edmonton Northwest,New Democratic Party,Omar,Abubakar
Edmonton Northwest,People's Party of Canada,Albert,Carson
Edmonton Northwest,Liberal Party of Canada,Lindsey,Machona
Edmonton Northwest,Conservative Party of Canada,Billy,Morin
Edmonton Northwest,Green Party of Canada,Colleen,Rice
Edmonton Riverbend,New Democratic Party,Susan,Cake
Edmonton Riverbend,People's Party of Canada,Dwayne,Dudiak
Edmonton Riverbend,Conservative Party of Canada,Matt,Jeneroux
Edmonton Riverbend,Liberal Party of Canada,Mark,Minenko
Edmonton Southeast,Communist Party of Canada,Corinne,Benson
Edmonton Southeast,Independent,Gurleen,Chandi
Edmonton Southeast,New Democratic Party,Harpreet,Grewal
Edmonton Southeast,Conservative Party of Canada,Jagsharan Singh,Mahal
Edmonton Southeast,People's Party of Canada,Martin,Schuetza
Edmonton Southeast,Liberal Party of Canada,Amarjeet,Sohi
Edmonton Strathcona,Conservative Party of Canada,Miles,Berry
Edmonton Strathcona,Communist Party of Canada,Christian,Bourque
Edmonton Strathcona,Green Party of Canada,Atul,Deshmukh
Edmonton Strathcona,Independent,Graham,Lettner
Edmonton Strathcona,New Democratic Party,Heather,McPherson
Edmonton Strathcona,Liberal Party of Canada,Ron,Thiering
Edmonton Strathcona,People's Party of Canada,David Joel,Wojtowicz
Edmonton West,Liberal Party of Canada,Brad,Fournier
Edmonton West,People's Party of Canada,Brent,Kinzel
Edmonton West,Conservative Party of Canada,Kelly,McCauley
Edmonton West,New Democratic Party,Sean,McQuillan
Edmonton West,Marxist-Leninist Party of Canada,Peggy,Morton
Foothills,New Democratic Party,Kaitte,Aurora
Foothills,Conservative Party of Canada,John,Barlow
Foothills,Liberal Party of Canada,John,Bruinsma
Foothills,Green Party of Canada,Emma,Hoberg
Foothills,People's Party of Canada,Paul,O'Halloran
Fort McMurray--Cold Lake,Independent,Kulbir,Chawla
Fort McMurray--Cold Lake,New Democratic Party,You-Ju,Choi
Fort McMurray--Cold Lake,People's Party of Canada,Alan,Clarke
Fort McMurray--Cold Lake,Green Party of Canada,Brian,Deheer
Fort McMurray--Cold Lake,Conservative Party of Canada,Laila,Goodridge
Fort McMurray--Cold Lake,Liberal Party of Canada,Kaitlyn,Staines
Grande Prairie,Parti RhinocÈros Party,Donovan,Eckstrom
Grande Prairie,Independent,Elliot,McDavid
Grande Prairie,People's Party of Canada,Shawn,McLean
Grande Prairie,Liberal Party of Canada,Maureen,Mcleod
Grande Prairie,New Democratic Party,Jennifer,Villebrun
Grande Prairie,Conservative Party of Canada,Chris,Warkentin
Lakeland,New Democratic Party,Des,Bissonnette
Lakeland,Green Party of Canada,Bridget,Burns
Lakeland,People's Party of Canada,Michael,Manchen
Lakeland,Liberal Party of Canada,Barry,Milaney
Lakeland,Christian Heritage Party of Canada,Micheal,Speirs
Lakeland,Conservative Party of Canada,Shannon,Stubbs
Leduc--Wetaskiwin,Liberal Party of Canada,Ronald,Brochu
Leduc--Wetaskiwin,United Party of Canada (UP),Kirk,Cayer
Leduc--Wetaskiwin,Canadian Future Party,Christopher,Everingham
Leduc--Wetaskiwin,People's Party of Canada,Jose,Flores
Leduc--Wetaskiwin,Conservative Party of Canada,Mike,Lake
Leduc--Wetaskiwin,New Democratic Party,Katherine,Swampy
Lethbridge,Green Party of Canada,Amber,Murray
Lethbridge,People's Party of Canada,Clara,Piedalue
Lethbridge,Christian Heritage Party of Canada,Marc,Slingerland
Lethbridge,Liberal Party of Canada,Chris,Spearman
Lethbridge,New Democratic Party,Nathan,Svoboda
Lethbridge,Conservative Party of Canada,Rachael,Thomas
Medicine Hat--Cardston--Warner,New Democratic Party,Jocelyn,Johnson
Medicine Hat--Cardston--Warner,Conservative Party of Canada,Glen,Motz
Medicine Hat--Cardston--Warner,Liberal Party of Canada,Tom,Rooke
Medicine Hat--Cardston--Warner,Green Party of Canada,Andy,Shadrack
Parkland,Green Party of Canada,Daniel,Birrell
Parkland,Liberal Party of Canada,Ashley,Fearnall
Parkland,New Democratic Party,Keri,Goad
Parkland,United Party of Canada (UP),Wade,Klassen
Parkland,People's Party of Canada,Jason,Lavigne
Parkland,Conservative Party of Canada,Dane,Lloyd
Parkland,Christian Heritage Party of Canada,Kevin,Schulthies
Peace River--Westlock,Liberal Party of Canada,Luke,Markowski
Peace River--Westlock,Independent,Darrell,Teske
Peace River--Westlock,New Democratic Party,Landen,Tischer
Peace River--Westlock,Conservative Party of Canada,Arnold,Viersen
Ponoka--Didsbury,United Party of Canada (UP),Grant,Abraham
Ponoka--Didsbury,Conservative Party of Canada,Blaine,Calkins
Ponoka--Didsbury,People's Party of Canada,Larry,Gratton
Ponoka--Didsbury,New Democratic Party,Logan,Hooley
Ponoka--Didsbury,No Affiliation,Zarnab,Zafar
Red Deer,New Democratic Party,Elias,Assefa
Red Deer,Conservative Party of Canada,Burton,Bailey
Red Deer,Liberal Party of Canada,Ayaz,Bangash
Red Deer,People's Party of Canada,Kyla,Courte
Red Deer,Green Party of Canada,Ashley,MacDonald
Red Deer,Christian Heritage Party of Canada,Brandon,Pringle
Sherwood Park--Fort Saskatchewan,Green Party of Canada,Randall,Emmons
Sherwood Park--Fort Saskatchewan,Conservative Party of Canada,Garnett,Genuis
Sherwood Park--Fort Saskatchewan,Liberal Party of Canada,Tanya,Holm
Sherwood Park--Fort Saskatchewan,Canadian Future Party,Mark,Horseman
Sherwood Park--Fort Saskatchewan,New Democratic Party,Chris,Jones
Sherwood Park--Fort Saskatchewan,People's Party of Canada,Jay,Sobel
St. Albert--Sturgeon River,New Democratic Party,Dorothy,Anderson
St. Albert--Sturgeon River,People's Party of Canada,Brigitte,Cecelia
St. Albert--Sturgeon River,Conservative Party of Canada,Michael,Cooper
St. Albert--Sturgeon River,Liberal Party of Canada,Lucia,Stachurski
St. Albert--Sturgeon River,Christian Heritage Party of Canada,Jeff,Willerton
Yellowhead,People's Party of Canada,Vicky,Bayford
Yellowhead,Liberal Party of Canada,Michael,Fark
Yellowhead,Christian Heritage Party of Canada,Dale,Heath
Yellowhead,New Democratic Party,Avni,Soma
Yellowhead,Conservative Party of Canada,William,Stevenson
Abbotsford--South Langley,People's Party of Canada,Aeriol,Alderking
Abbotsford--South Langley,Independent,Michael,de Jong
Abbotsford--South Langley,Conservative Party of Canada,Sukhman,Gill
Abbotsford--South Langley,Liberal Party of Canada,Kevin,Gillies
Abbotsford--South Langley,Green Party of Canada,Melissa,Snazell
Abbotsford--South Langley,New Democratic Party,Dharmasena,Yakandawela
Burnaby Central,Liberal Party of Canada,Wade,Chang
Burnaby Central,People's Party of Canada,Richard,Farbridge
Burnaby Central,New Democratic Party,Jagmeet,Singh
Burnaby Central,Conservative Party of Canada,James,Yan
Burnaby North--Seymour,Liberal Party of Canada,Terry,Beech
Burnaby North--Seymour,New Democratic Party,Michael,Charrois
Burnaby North--Seymour,Conservative Party of Canada,Mauro,Francis
Burnaby North--Seymour,People's Party of Canada,Jesse,Fulton
Cariboo--Prince George,New Democratic Party,Angie,Bonazzo
Cariboo--Prince George,Green Party of Canada,Jodie,Capling
Cariboo--Prince George,Conservative Party of Canada,Todd,Doherty
Cariboo--Prince George,Liberal Party of Canada,Clinton,Emslie
Cariboo--Prince George,People's Party of Canada,Rudy,Sans
Cariboo--Prince George,Independent,Kenneth B.,Thomson
Cariboo--Prince George,Christian Heritage Party of Canada,Jake,Wiens
Chilliwack--Hope,United Party of Canada (UP),Christopher,Adam
Chilliwack--Hope,Green Party of Canada,Salina,Derish
Chilliwack--Hope,People's Party of Canada,Jeff,Galbraith
Chilliwack--Hope,Liberal Party of Canada,Zeeshan,Khan
Chilliwack--Hope,Conservative Party of Canada,Mark,Strahl
Chilliwack--Hope,New Democratic Party,Teri,Westerby
Cloverdale--Langley City,Conservative Party of Canada,Tamara,Jansen
Cloverdale--Langley City,Liberal Party of Canada,Kyle,Latchford
Cloverdale--Langley City,People's Party of Canada,Jim,McMurtry
Cloverdale--Langley City,New Democratic Party,Vanessa,Sharma
Cloverdale--Langley City,Green Party of Canada,Kevin Daniel,Wilkie
Columbia--Kootenay--Southern Rockies,People's Party of Canada,Laurie,Baird
Columbia--Kootenay--Southern Rockies,Liberal Party of Canada,Reggie,Goldsbury
Columbia--Kootenay--Southern Rockies,New Democratic Party,Kallee,Lins
Columbia--Kootenay--Southern Rockies,Green Party of Canada,Steven,Maffioli
Columbia--Kootenay--Southern Rockies,Conservative Party of Canada,Rob,Morrison
Columbia--Kootenay--Southern Rockies,Independent,James,Wiedrick
Coquitlam--Port Coquitlam,Conservative Party of Canada,Iain,Black
Coquitlam--Port Coquitlam,Libertarian Party of Canada,Lewis Clarke,Dahlby
Coquitlam--Port Coquitlam,New Democratic Party,Laura,Dupont
Coquitlam--Port Coquitlam,Green Party of Canada,Michael Peter,Glenister
Coquitlam--Port Coquitlam,Liberal Party of Canada,Ron,McKinnon
Courtenay--Alberni,Liberal Party of Canada,Brian,Cameron
Courtenay--Alberni,People's Party of Canada,Thomas,Gamble
Courtenay--Alberni,New Democratic Party,Gord,Johns
Courtenay--Alberni,Animal Protection Party of Canada,Teresa,Knight
Courtenay--Alberni,Green Party of Canada,Chris,Markevich
Courtenay--Alberni,Conservative Party of Canada,Kris,McNichol
